name,position,team,id,draftsSelectedIn,averagePick,minPick,maxPick
L.Bell,RB,PIT,11192,3904,3.57,1,113
A.Brown,WR,PIT,9988,3917,5.30,1,117
E.Lacy,RB,GB,11201,3915,6.19,1,114
A.Peterson,RB,MIN,8658,3919,6.25,1,191
J.Charles,RB,KC,9054,3912,7.60,1,130
D.Bryant,WR,DAL,9823,3917,8.88,1,176
J.Jones,WR,ATL,10271,3918,10.09,1,121
O.Beckham,WR,NYG,11679,3919,10.54,1,123
A.Luck,QB,IND,10695,3855,10.57,1,183
D.Thomas,WR,DEN,9884,3921,11.64,1,119
R.Gronkowski,TE,NE,9902,3917,12.27,1,122
M.Lynch,RB,SEA,8670,3910,13.88,1,242
A.Rodgers,QB,GB,7836,3855,15.37,1,138
C.Johnson,WR,DET,8657,3918,16.30,1,188
C.Anderson,RB,DEN,11454,3920,16.87,1,154
M.Forte,RB,CHI,9122,3919,17.82,1,178
D.Murray,RB,PHI,10302,3918,18.07,1,181
A.Green,WR,CIN,10261,3921,18.67,1,187
R.Cobb,WR,GB,10308,3924,19.42,5,126
J.Hill,RB,CIN,11654,3917,20.07,1,135
L.McCoy,RB,BUF,9448,3919,22.33,1,130
T.Hilton,WR,IND,10729,3922,24.52,1,127
A.Jeffery,WR,CHI,10722,3919,25.97,6,139
M.Evans,WR,TBB,11671,3914,27.34,1,192
B.Cooks,WR,NO,11674,3921,28.42,3,213
J.Graham,TE,SEA,9925,3916,30.74,2,201
J.Forsett,RB,BAL,9278,3915,31.51,2,238
J.Watt,DE,HOU,10272,262,31.62,1,121
D.Hopkins,WR,HOU,11232,3919,32.14,1,131
L.Miller,RB,MIA,10708,3918,33.26,6,145
J.Nelson,WR,GB,9118,1640,33.43,5,331
J.Matthews,WR,PHI,11676,3916,34.04,11,158
E.Sanders,WR,DEN,9918,3922,34.44,11,135
M.Ingram,RB,NO,10276,3921,38.40,7,183
M.Gordon,RB,SD,12151,3912,39.15,9,567
F.Gore,RB,IND,7877,3910,41.44,6,325
R.Wilson,QB,SEA,10703,3857,42.71,1,178
A.Cooper,WR,OAK,12175,3912,42.99,3,566
C.Hyde,RB,SF,11657,3914,44.08,12,209
L.Murray,RB,OAK,11390,3919,45.69,11,207
K.Allen,WR,SD,11222,3916,46.16,8,170
P.Manning,QB,DEN,3291,3809,46.82,1,393
A.Morris,RB,WAS,10870,3912,46.82,8,209
G.Tate,WR,DET,9831,3921,47.17,8,153
J.Edelman,WR,NE,9662,3919,48.61,11,616
