name,position,team,id,draftsSelectedIn,averagePick,minPick,maxPick
L.McCoy,RB,PHI,9448,4198,2.42,1,211
J.Charles,RB,KC,9054,4198,3.04,1,206
A.Peterson,RB,MIN,8658,4193,4.64,1,210
C.Johnson,WR,DET,8657,4203,5.71,1,209
M.Forte,RB,CHI,9122,4205,6.44,1,120
E.Lacy,RB,GB,11201,4182,8.35,1,207
D.Thomas,WR,DEN,9884,4190,8.74,1,216
J.Graham,TE,NO,9925,4201,9.73,1,207
D.Bryant,WR,DAL,9823,4206,11.68,1,213
P.Manning,QB,DEN,3291,4134,12.20,1,208
A.Green,WR,CIN,10261,4201,12.27,1,211
J.Jones,WR,ATL,10271,4204,15.31,1,124
B.Marshall,WR,CHI,8360,4213,16.09,1,134
M.Lynch,RB,SEA,8670,4210,16.22,1,212
A.Rodgers,QB,GB,7836,4140,16.79,1,173
M.Ball,RB,DEN,11174,4205,16.97,1,203
D.Murray,RB,DAL,10302,4214,17.98,1,198
D.Brees,QB,NO,4925,4144,18.68,1,214
G.Bernard,RB,CIN,11193,4194,19.91,1,204
A.Brown,WR,PIT,9988,4209,22.15,1,135
J.Nelson,WR,GB,9118,4208,22.16,1,192
A.Jeffery,WR,CHI,10722,4198,23.27,1,199
D.Martin,RB,TBB,10709,4220,25.54,1,193
L.Bell,RB,PIT,11192,4194,25.61,2,209
A.Foster,RB,HOU,9690,4221,26.01,1,251
R.Cobb,WR,GB,10308,4224,27.12,3,160
J.Thomas,TE,DEN,10372,4219,28.76,1,198
R.Gronkowski,TE,NE,9902,4220,29.02,1,205
A.Ellington,RB,ARI,11175,4231,32.62,1,210
K.Allen,WR,SD,11222,4230,33.18,2,203
A.Morris,RB,WAS,10870,4222,33.72,1,353
Z.Stacy,RB,STL,11189,4218,33.76,2,238
A.Luck,QB,IND,10695,4146,38.05,1,201
R.Bush,RB,DET,8243,4233,38.67,1,277
M.Stafford,QB,DET,9431,4154,39.60,2,215
P.Garcon,WR,WAS,9250,4236,39.81,2,163
V.Cruz,WR,NYG,10080,4237,40.99,5,180
V.Jackson,WR,TBB,7873,4237,41.38,1,175
A.Johnson,WR,HOU,6931,4249,41.75,1,164
C.Spiller,RB,BUF,9822,4234,42.75,2,309
L.Fitzgerald,WR,ARI,7393,4239,43.32,6,166
C.Patterson,WR,MIN,11225,4225,43.96,2,197
R.White,WR,ATL,7839,4243,47.46,2,183
S.Vereen,RB,NE,10303,4226,48.38,4,236
M.Crabtree,WR,SF,9427,4229,49.45,3,208
P.Harvin,WR,NYJ,9441,4234,50.03,3,197
M.Floyd,WR,ARI,10721,4238,52.17,1,206
R.Mathews,RB,SD,9851,4231,53.57,6,355
D.Jackson,WR,WAS,9075,4229,54.53,6,176
T.Gerhart,RB,JAC,9880,4255,55.15,2,293
J.Cameron,TE,CLE,10352,4207,55.43,5,219
T.Hilton,WR,IND,10729,4234,57.04,8,202
N.Foles,QB,PHI,10699,4173,57.59,1,202
J.Watt,DE,HOU,10272,276,58.28,1,222
R.Jennings,RB,NYG,9680,4237,59.96,6,318
V.Davis,TE,SF,8247,4231,60.28,3,209
J.Edelman,WR,NE,9662,4243,61.43,5,267
W.Welker,WR,DEN,7653,4228,62.36,8,198
L.Kuechly,LB,CAR,10773,281,62.49,1,232
R.Rice,RB,FA*,9094,4232,63.13,3,312
T.Smith,WR,BAL,10289,4238,63.52,1,187
T.Brady,QB,NE,5848,4166,63.82,3,227
B.Sankey,RB,TEN,11653,4260,63.97,1,431
B.Tate,RB,PIT,9907,4237,64.10,2,379
F.Gore,RB,SF,7877,4245,65.53,3,279
C.Johnson,RB,NYJ,9078,4230,66.93,2,330
M.Ryan,QB,ATL,9099,4176,68.06,1,197
L.David,LB,TBB,10768,278,68.47,1,232
J.Bell,RB,DET,10048,4223,68.61,1,310
J.Maclin,WR,PHI,9436,4243,68.65,3,201
T.Richardson,RB,IND,10706,4225,68.89,7,302
E.Sanders,WR,DEN,9918,4242,69.89,7,222
C.Newton,QB,CAR,10273,4154,70.57,1,231
J.Witten,TE,DAL,6997,4228,71.62,10,230
R.Quinn,DE,STL,10269,277,74.90,2,246
S.Watkins,WR,BUF,11670,4241,75.66,1,350
K.Wright,WR,TEN,10720,4201,76.50,8,240
M.Wallace,WR,MIA,9525,4228,76.70,7,214
M.Colston,WR,NO,8493,4243,77.38,9,279
V.Burfict,LB,CIN,10772,278,79.09,4,239
E.Decker,WR,NYJ,9881,4222,80.48,9,244
J.Reed,TE,WAS,11248,4160,81.98,16,310
S.Seahawks,Def,SEA,0515,3890,83.11,2,215
B.Cooks,WR,NO,11674,4242,83.82,2,353
C.Kaepernick,QB,SF,10297,4161,84.43,2,213
K.Rudolph,TE,MIN,10312,4185,85.38,6,379
P.Posluszny,LB,JAC,8669,277,86.25,5,286
R.Griffin III,QB,WAS,10696,4155,86.36,2,246
P.Thomas,RB,NO,8931,4217,86.70,5,379
G.Tate,WR,DET,9831,4207,87.79,18,272
J.Cutler,QB,CHI,8252,4180,88.86,3,267
G.Olsen,TE,CAR,8687,4178,88.93,11,302
R.Wayne,WR,IND,4923,4228,88.96,5,305
T.Williams,WR,DAL,11211,4199,90.06,10,231
R.Wilson,QB,SEA,10703,4172,90.97,1,254
T.Romo,QB,DAL,7260,4180,92.72,7,249
M.Jones-Drew,RB,OAK,8301,4231,93.01,2,426
D.Pitta,TE,BAL,9933,4160,93.12,11,347
C.Jones,DE,NE,10753,268,96.18,7,285
M.Evans,WR,TBB,11671,4194,96.49,1,352
B.Wagner,LB,SEA,10775,270,98.12,3,244
L.Miller,RB,MIA,10708,4196,98.52,3,314
S.Ridley,RB,NE,10334,4188,98.79,10,288
P.Willis,LB,SF,8675,278,99.74,7,252
Z.Ertz,TE,PHI,11247,4147,100.54,8,297
K.Benjamin,WR,CAR,11673,4210,101.61,3,359
K.Moreno,RB,MIA,9437,4198,101.62,8,376
S.Jackson,RB,ATL,7414,4194,102.38,15,394
D.Sproles,RB,PHI,7942,4187,102.75,6,325
A.Ogletree,LB,STL,11293,260,104.85,6,278
P.Rivers,QB,SD,7394,4167,106.23,3,272
C.Hyde,RB,SF,11657,4174,106.36,1,397
D.Hopkins,WR,HOU,11232,4084,106.41,12,308
D.Woodhead,RB,SD,9693,4135,109.21,5,308
D.Bowe,WR,KC,8667,4166,110.76,15,304
K.Dansby,LB,CLE,7423,268,111.78,12,270
F.Jackson,RB,BUF,8934,4157,112.60,4,420
R.Randle,WR,NYG,10725,4067,113.35,42,325
S.49ers,Def,SF,0530,3901,113.57,1,241
J.Laurinaitis,LB,STL,9439,265,115.26,11,250
D.Johnson,LB,KC,7827,270,115.29,8,291
R.Cooper,WR,PHI,9964,4155,115.95,24,321
J.Hunter,WR,TEN,11212,3996,116.20,6,321
G.Hardy,DE,CAR,9847,262,117.02,9,274
A.Dalton,QB,CIN,10313,4153,117.13,9,296
D.Freeman,RB,ATL,11660,4075,118.45,8,358
B.Pierce,RB,BAL,10713,4107,118.63,12,337
C.Panthers,Def,CAR,0527,3897,119.33,16,264
M.Bennett,TE,CHI,9044,4042,120.41,16,391
V.Miller,LB,DEN,10267,258,120.48,8,258
C.Shorts,WR,JAC,10362,4042,122.04,19,313
T.Austin,WR,STL,11213,3952,122.15,15,336
E.Thomas,S,SEA,9829,259,122.96,1,317
A.Boldin,WR,SF,6982,4113,124.09,14,335
M.Kendricks,LB,PHI,10807,241,124.80,13,259
J.Gordon,WR,CLE,10960,2237,124.81,10,548
L.Green,TE,SD,10744,3963,124.93,14,349
J.Hill,RB,CIN,11654,3976,125.53,7,395
H.Smith,S,MIN,10783,254,126.18,17,282
B.Roethlisberger,QB,PIT,7401,4140,126.35,1,295
J.Mayo,LB,NE,9086,246,126.44,12,256
H.Nicks,WR,IND,9450,3996,127.29,13,352
T.West,RB,CLE,11746,3917,128.04,7,363
J.Pierre-Paul,DE,NYG,9833,256,128.52,13,252
J.Matthews,WR,PHI,11676,3737,129.28,3,368
S.Rams,Def,STL,0528,3897,130.54,17,245
S.Gostkowski,PK,NE,8359,3986,130.85,20,358
B.Church,S,DAL,10074,256,131.97,20,250
M.Ingram,RB,NO,10276,3932,132.05,10,418
D.Amendola,WR,NE,9308,3931,132.58,7,485
C.Clay,TE,MIA,10409,3877,132.96,8,382
D.Broncos,Def,DEN,0511,3862,133.63,27,290
J.Clowney,LB,HOU,11706,272,133.85,6,351
E.Ebron,TE,DET,11695,3826,133.88,5,355
D.McFadden,RB,OAK,9087,4046,134.34,4,319
C.Michael,RB,SEA,11179,3589,135.40,6,423
M.Wilkerson,DE,NYJ,10314,254,135.79,19,319
D.Williams,RB,CAR,8268,4025,137.08,17,376
M.Wheaton,WR,PIT,11229,3823,137.64,11,330
P.Worrilow,LB,ATL,11457,236,137.66,17,316
K.Chiefs,Def,KC,0512,3864,138.64,18,280
N.Bowman,LB,SF,9840,231,138.92,5,316
C.Jordan,DE,NO,10292,236,140.25,12,282
C.Bengals,Def,CIN,0506,3850,140.61,17,274
E.Berry,S,KC,9816,250,140.84,25,231
J.Freeman,LB,IND,10982,222,141.08,4,328
K.Stills,WR,NO,11227,3640,142.12,26,362
A.Williams,RB,NYG,11658,3576,142.46,6,372
E.Weddle,S,SD,8713,244,142.52,7,261
C.Wake,DE,MIA,9425,251,144.38,17,349
N.Patriots,Def,NE,0504,3843,145.33,30,348
C.Greenway,LB,MIN,8258,227,145.88,15,262
B.Cushing,LB,HOU,9446,221,146.49,11,296
A.Gates,TE,SD,7236,3743,146.70,30,401
C.Palmer,QB,ARI,6929,3706,146.96,13,510
G.Jennings,WR,MIN,8293,3696,147.35,29,352
M.Prater,PK,DET,8930,3760,147.54,29,362
K.Robinson,RB,NO,11466,3573,148.11,10,422
R.Tannehill,QB,MIA,10697,3731,148.87,10,329
H.Miller,TE,PIT,7842,3613,149.26,27,436
A.Cardinals,Def,ARI,0519,3780,149.42,13,286
J.Boykin,WR,GB,10930,3493,149.79,29,407
S.Smith,WR,BAL,4974,3591,150.19,12,480
R.Shazier,LB,PIT,11722,220,150.79,4,366
T.Ward,S,DEN,9877,240,151.46,30,298
D.Ware,DE,DEN,7823,244,153.07,19,288
M.Lee,WR,JAC,11672,3143,153.57,8,394
C.Campbell,DE,ARI,9051,236,153.74,26,270
A.Smith,QB,KC,7813,3327,154.00,5,439
T.Eifert,TE,CIN,11250,3213,154.31,18,330
M.Jones,WR,CIN,10738,3015,154.39,22,445
J.Cyprien,S,JAC,11347,232,154.67,22,260
J.Tucker,PK,BAL,10976,3984,154.90,27,441
A.Dobson,WR,NE,11214,3110,155.10,34,410
S.Hauschka,PK,SEA,9319,3978,155.14,37,495
B.Hartline,WR,MIA,9545,3328,155.21,38,399
M.Williams,DE,BUF,8242,231,156.51,2,327
T.Mason,RB,STL,11650,2844,157.89,7,454
K.Davis,RB,KC,11194,3290,158.03,18,432
J.Manziel,QB,CLE,11641,3097,158.04,1,389
T.Kelce,TE,KC,11244,2765,158.63,24,471
J.Jones,WR,OAK,8776,3345,158.64,49,467
K.Britt,WR,STL,9467,3007,158.95,11,427
J.Flacco,QB,BAL,9064,3140,159.09,1,474
E.Manning,QB,NYG,7391,3138,159.41,13,510
D.Allen,TE,IND,10742,2978,160.12,12,406
R.Sherman,CB,SEA,10393,235,161.06,23,451
M.Burnett,S,GB,9864,231,161.83,18,310
R.Ninkovich,DE,NE,8376,228,161.97,26,327
D.Walker,TE,TEN,8416,3172,162.18,43,437
O.Beckham,WR,NYG,11679,2377,162.30,7,406
H.Texans,Def,HOU,0532,3422,162.75,11,353
K.Mack,LB,OAK,11721,216,164.17,12,362
J.Stewart,RB,CAR,9101,2916,164.46,16,467
P.Peterson,CB,ARI,10260,227,164.48,31,445
C.Ivory,RB,NYJ,10077,3045,164.58,31,405
M.Crosby,PK,GB,8742,3871,165.81,27,463
L.Blount,RB,NE,9898,3104,165.81,20,492
C.Latimer,WR,DEN,11758,2143,166.57,13,449
K.Vaccaro,S,NO,11324,228,166.91,27,280
A.Bradshaw,RB,IND,8917,2837,167.04,30,515
M.Barron,S,STL,10782,217,168.32,29,318
D.Baldwin,WR,SEA,10527,2702,168.47,31,378
D.Wilson,RB,FA,10707,726,168.87,68,495
L.Dunbar,RB,DAL,10961,2490,169.61,15,543
P.Dawson,PK,SF,3494,3873,169.91,18,524
C.Bears,Def,CHI,0521,2895,170.86,28,367
D.Bailey,PK,DAL,10506,3922,170.90,24,465
J.White,RB,NE,11747,2060,171.10,12,481
J.McCown,QB,TBB,6589,2241,172.51,29,515
T.Bridgewater,QB,MIN,11640,1494,173.28,3,473
A.Hawkins,WR,CLE,10601,2206,173.48,28,488
J.Allen,DE,CHI,7516,227,173.74,47,378
J.Blackmon,WR,JAC,10719,573,173.92,61,451
A.Seferian-Jenkins,TE,TBB,11697,1661,174.13,16,441
S.Bradford,QB,STL,9817,1063,174.55,6,434
S.Greene,RB,TEN,9458,2148,174.79,24,584
M.Austin,WR,CLE,8510,2445,174.90,7,418
A.Vinatieri,PK,IND,2842,3545,175.06,24,486
C.Browns,Def,CLE,0507,2502,175.32,16,351
N.Saints,Def,NO,0529,2197,175.62,37,346
D.Adams,WR,GB,11675,1209,175.64,10,429
R.Woods,WR,BUF,11228,1936,175.68,15,397
C.Fleener,TE,IND,10743,1952,176.31,31,567
B.Bortles,QB,JAC,11642,1207,176.69,4,462
T.Wright,TE,NE,11526,1473,177.04,19,510
B.Bills,Def,BUF,0501,2119,178.14,38,373
T.Buccaneers,Def,TBB,0525,2373,178.85,55,360
K.Carey,RB,CHI,11652,1632,179.28,9,456
A.Rolle,S,NYG,7820,218,179.30,32,353
J.Grimes,RB,HOU,10975,1383,180.15,31,624
A.Robinson,WR,JAC,11678,865,180.64,13,431
C.Sims,RB,TBB,11656,880,180.80,26,478
G.Packers,Def,GB,0523,1634,181.00,4,417
B.Ravens,Def,BAL,0531,1839,181.37,19,388
B.Walsh,PK,MIN,10872,3234,182.17,42,555
