playerId,player,team,position,age,exp,bye,lower,upper,sdPts,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,games,points,vor,vorLow,vorHigh,overallRank,positionRank,ptsGame,vorGame,vorGameLow,vorGameHigh,adp,auctionValue,adpDiff,cost,ppdollar
2540175,L.Bell,PIT,RB,23,2,11,236.9,313.705842122932,33.9298694415873,10.0092585909363,1,76.8058421229324,3.3,2.8,1.6,8.80890334302859,NA,16,273.484596959141,134.74666206448,135.863884107348,156.668125837818,1,1,17.0927873099463,8.42166637903002,8.49149275670925,9.79175786486364,4.0883,52.1,-3.0883,58,4.71525167170933
2508061,A.Brown,PIT,WR,27,5,11,261.479525568571,300.530936833542,13.7669004608607,26.0616357775189,1,39.051411264971,6.7,1.6,1.1,2.87920241540297,NA,16,284.071926106415,133.235062511834,129.096687544274,134.819320786945,2,1,17.7544953816509,8.32719140698961,8.06854297151714,8.42620754918408,8.0717,50.5,-6.0717,56,5.07271296618597
925,J.Charles,KC,RB,29,7,9,242.4,281.433074904903,14.9689294084951,4.30159786694566,1,39.0330749049029,3.6,3.3,1.4,5.69325164698013,NA,16,264.391133803135,125.653198908474,141.363884107348,124.395358619789,3,2,16.5244458626959,7.85332493177961,8.83524275670925,7.7747099137368,4.4033,52.5,-1.4033,58,4.55846782419198
2540168,E.Lacy,GB,RB,24,2,7,246.4,270.529363004789,14.7663022028181,8.96063751883145,2,24.129363004789,3.8,3.3,1.5,7.04155280881701,NA,16,262.559542933275,123.821608038614,145.363884107348,113.491646719675,4,3,16.4099714333297,7.73885050241339,9.08524275670925,7.09322791997968,3.605,52.775,0.395,59,4.45016174463178
2507164,A.Peterson,MIN,RB,30,8,5,235.556310679612,269.553221681468,12.1012946629589,8.23221337127941,2,33.9969110018559,2.1,1.9,1.2,4.28833819224889,NA,16,257.619528939103,118.881594044442,134.52019478696,112.515505396353,5,4,16.1012205586939,7.43009962777762,8.40751217418497,7.03221908727209,2.8267,53.275,2.1733,59,4.3664326938831
234,M.Forte,CHI,RB,30,7,7,222.600013063193,266.465385052502,17.7122754458452,4.82092987683927,3,43.8653719893088,15.2,8.4,1.5,5.31202594364418,NA,16,249.578281889784,110.840346995124,121.563897170541,109.427668767387,6,5,15.5986426181115,6.92752168719523,7.59774357315879,6.83922929796172,12.2783,43.525,-6.2783,48,5.19954753937051
2495663,M.Lynch,SEA,RB,29,8,9,225.670873871933,282.515750836497,22.1838428536253,14.0190151772709,3,56.8448769645639,5.4,4.6,1.2,4.11672712348408,NA,16,249.196349245862,110.458414351202,124.634757979281,125.478034551383,7,6,15.5747718278664,6.9036508969501,7.78967237370505,7.84237715946141,5.3567,52.175,1.6433,58,4.29648878010107
497328,D.Thomas,DEN,WR,28,5,7,243.540037808798,273.827313762636,12.2984564004749,3.80610493275398,2,30.2872759538382,10.9,3.8,1.5,3.31789236585995,NA,16,259.706452650566,108.869589055985,111.157199784501,108.115697716039,8,2,16.2316532906604,6.80434931599907,6.94732498653132,6.75723110725246,13.4233,45.1,-5.4233,50,5.19412905301132
2495454,J.Jones,ATL,WR,26,4,10,231.35191469603,274.917216049206,18.17046126783,2.49638501430934,2,43.5653013531759,10.3,3.6,1.4,5.8353006306407,NA,16,256.314128007225,105.477264412644,98.9690766717324,109.205600002608,9,3,16.0196330004516,6.59232902579028,6.18556729198328,6.82535000016303,14.81,42.35,-5.81,47,5.45349208526011
2543496,O.Beckham,NYG,WR,23,1,11,210.089093505211,276.15813053123,23.7111333656943,6.7085772778984,2,66.0690370260191,12.2,4.7,1.6,6.20365698896949,NA,16,255.486567428399,104.649703833818,77.7062554809139,110.446514484633,10,4,15.9679104642749,6.54060648961361,4.85664096755712,6.90290715528957,14.6917,43.7,-4.6917,49,5.2140115801714
497240,R.Gronkowski,NE,TE,26,5,4,185.451955376166,239.307894787123,19.1167411788377,47.1111909690186,1,53.8559394109567,9.3,1,0,6.37729582130283,NA,16,219.32922061664,101.6658757516,82.7711660276162,105.909266927741,11,1,13.70807628854,6.35411723447499,5.17319787672601,6.61932918298382,12.7717,46.325,-1.7717,51,4.30057295326744
2540269,C.Anderson,DEN,RB,24,2,7,212.616641726799,258.978029482716,15.4231131000616,14.5032691569152,4,46.3613877559165,9.6,6.3,1.8,5.42123824077177,NA,16,240.318354780028,101.580419885367,111.580525834147,101.940313197601,12,7,15.0198971737517,6.34877624283545,6.97378286463419,6.37126957485009,12.1167,42.675,-0.1167,47,5.11315648468145
497278,D.Bryant,DAL,WR,27,5,6,229.8202375,265.912816246765,13.3870360085408,12.6146348559584,3,36.0925787467646,8.5,2.5,1.1,3.05942564226076,NA,16,252.148918557433,101.312054962852,97.4373994757028,100.201200200168,13,5,15.7593074098396,6.33200343517828,6.08983746723142,6.26257501251047,11.355,47.2,1.645,52,4.84901766456603
2495647,C.Johnson,DET,WR,30,8,9,221.702463739429,269.11868702898,20.192049421652,13.5369301291022,3,47.4162232895511,13.5,5.2,1.5,4.96104491464164,NA,16,245.407061743567,94.5701981489861,89.3196257151318,103.407070982383,14,6,15.3379413589729,5.91063738431163,5.58247660719574,6.46294193639893,16.6467,42.85,-2.6467,48,5.11264711965764
2495207,D.Murray,PHI,RB,27,4,8,210.1,247.776265359398,16.5258119796733,10.1072028187446,5,37.6762653593979,15.2,8.5,2,5.94523946230372,NA,16,230.036313357155,91.298378462494,109.063884107348,90.7385490742838,15,8,14.3772695848222,5.70614865390588,6.81649275670924,5.67115931714274,13.1833,41.775,1.8167,46,5.00078942080771
