name,position,team,id,draftsSelectedIn,averagePick,minPick,maxPick
S.Seahawks,Def,SEA,0515,2269,114.49,15,226
C.Coleman,WR,CLE,12646,2288,114.68,35,300
V.Miller,LB,DEN,10267,166,115.75,33,263
C.Davis,WR,TEN,13153,2303,116.31,13,322
T.Rawls,RB,SEA,12169,2365,116.35,22,356
K.Chiefs,Def,KC,0512,2268,116.70,23,235
T.Smith,LB,JAC,11813,155,117.17,31,234
A.Thielen,WR,MIN,11938,2295,117.96,45,350
D.Hunter,DE,MIN,12221,154,118.43,50,229
D.Johnson,RB,CLE,12157,2279,118.66,41,338
S.Ware,RB,KC,11199,906,119.31,24,360
H.Texans,Def,HOU,0532,2268,120.60,29,212
M.Jones,WR,DET,10738,2288,121.99,37,327
J.Tucker,PK,BAL,10976,2291,123.16,14,320
R.Jones,S,MIA,9966,153,124.38,15,237
S.Gostkowski,PK,NE,8359,2294,124.41,9,360
J.Brown,WR,ARI,11783,2260,124.87,27,330
J.Stewart,RB,CAR,9101,2336,124.91,28,342
K.Neal,S,ATL,12736,153,124.99,40,286
J.Edelman,WR,NE,9662,749,125.11,21,420
J.Matthews,WR,BUF,11676,2228,125.65,48,304
E.Ebron,TE,DET,11695,2196,125.65,38,350
R.Matthews,WR,TEN,10903,2226,126.73,37,316
C.Mosley,LB,BAL,11728,156,127.73,45,247
C.Meredith,WR,CHI,12465,922,128.05,15,359
A.Dalton,QB,CIN,10313,2352,128.58,2,282
J.Pierre-Paul,DE,NYG,9833,155,129.27,13,271
E.Manning,QB,NYG,7391,2344,129.63,10,285
S.Lee,LB,DAL,9866,156,129.88,38,238
J.White,RB,NE,11747,2207,130.63,18,355
A.Cardinals,Def,ARI,0519,2267,131.67,31,226
C.Wentz,QB,PHI,12610,2310,131.77,7,301
J.Doyle,TE,IND,11516,2177,132.51,48,342
M.Forte,RB,NYJ,9122,2284,132.76,32,366
D.Jones,LB,ATL,12745,146,132.82,41,267
R.Shazier,LB,PIT,11722,155,133.43,51,266
M.Wallace,WR,BAL,9525,2190,133.64,3,341
S.Perine,RB,WAS,13133,2163,135.37,15,322
N.Patriots,Def,NE,0504,2257,135.43,36,235
