name,position,team,id,draftsSelectedIn,averagePick,minPick,maxPick
A.Brown,WR,PIT,9988,4103,1.75,1,111
O.Beckham,WR,NYG,11679,4106,3.34,1,112
J.Jones,WR,ATL,10271,4101,4.48,1,109
T.Gurley,RB,LA,12150,4029,5.65,1,213
D.Johnson,RB,ARI,12171,4029,8.20,1,210
D.Hopkins,WR,HOU,11232,4102,8.39,1,215
E.Elliott,RB,DAL,12625,4106,9.08,1,118
A.Green,WR,CIN,10261,4039,9.84,2,171
L.Bell,RB,PIT,11192,4109,12.36,1,121
R.Gronkowski,TE,NE,9902,4040,12.59,1,176
A.Robinson,WR,JAC,11678,4025,13.19,1,207
A.Peterson,RB,MIN,8658,4035,13.59,1,220
L.Miller,RB,HOU,10708,4106,15.04,1,214
D.Bryant,WR,DAL,9823,4109,15.14,1,127
D.Freeman,RB,ATL,11660,4107,18.88,1,204
M.Evans,WR,TBB,11671,4037,20.33,1,132
K.Allen,WR,SD,11222,4029,20.78,4,140
C.Newton,QB,CAR,10273,3975,21.52,1,199
A.Cooper,WR,OAK,12175,4102,22.18,2,202
J.Nelson,WR,GB,9118,4103,22.29,1,200
B.Marshall,WR,NYJ,8360,4039,24.27,2,208
A.Jeffery,WR,CHI,10722,4040,25.52,2,186
B.Cooks,WR,NO,11674,4037,26.75,8,144
A.Rodgers,QB,GB,7836,4032,27.12,1,191
J.Charles,RB,KC,9054,4033,27.57,2,215
E.Lacy,RB,GB,11201,4039,27.75,2,151
M.Ingram,RB,NO,10276,4043,28.73,4,136
T.Hilton,WR,IND,10729,4043,29.38,5,142
S.Watkins,WR,BUF,11670,4035,30.77,2,185
D.Martin,RB,TBB,10709,4036,31.90,5,206
L.McCoy,RB,BUF,9448,4044,32.10,4,168
D.Thomas,WR,DEN,9884,4041,33.45,3,141
J.Landry,WR,MIA,11680,4107,35.39,2,203
R.Cobb,WR,GB,10308,4108,37.69,1,133
A.Luck,QB,IND,10695,3975,39.24,1,155
J.Reed,TE,WAS,11248,4040,39.36,3,188
C.Anderson,RB,DEN,11454,4040,39.82,5,161
R.Wilson,QB,SEA,10703,4035,40.74,1,205
K.Benjamin,WR,CAR,11673,4036,42.59,6,209
T.Rawls,RB,SEA,12169,4108,43.50,3,208
J.Edelman,WR,NE,9662,4109,45.50,2,156
C.Hyde,RB,SF,11657,4041,45.62,6,174
L.Murray,RB,OAK,11390,4114,47.29,3,179
D.Moncrief,WR,IND,11677,4039,48.61,15,197
G.Tate,WR,DET,9831,4106,49.36,14,177
J.Maclin,WR,KC,9436,4094,49.46,3,201
G.Olsen,TE,CAR,8687,4035,49.93,9,193
